"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1998/09/01","00:00","0.788","0.453","0.365","0.094","0.086","-0.193","-0.31","-0.622","0"
"1998/10/01","00:00","0.498","0.312","0.248","-0.02","-0.027","-0.302","-0.441","-0.885","0"
"1998/11/01","00:00","0.591","0.245","0.176","-0.102","-0.109","-0.394","-0.546","-0.916","0"
"1998/12/01","00:00","0.486","0.241","0.132","-0.146","-0.152","-0.437","-0.62","-0.927","0"
"1999/01/01","00:00","1.301","0.281","0.141","-0.147","-0.146","-0.433","-0.612","-0.907","0"
"1999/02/01","00:00","0.598","0.292","0.185","-0.095","-0.101","-0.387","-0.522","-0.968","0"
"1999/03/01","00:00","0.466","0.241","0.167","-0.115","-0.123","-0.414","-0.526","-0.778","0"
"1999/04/01","00:00","0.674","0.27","0.199","-0.08","-0.087","-0.374","-0.503","-0.864","0"
"1999/05/01","00:00","0.513","0.327","0.219","-0.048","-0.055","-0.329","-0.497","-0.799","0"
"1999/06/01","00:00","0.506","0.308","0.192","-0.08","-0.084","-0.359","-0.542","-0.831","0"
"1999/07/01","00:00","NaN","0.346","0.229","-0.043","-0.048","-0.324","-0.489","NaN","11"
"1999/08/01","00:00","0.559","0.391","0.283","0.012","0.002","-0.28","-0.403","-0.632","0"
"1999/09/01","00:00","0.634","0.46","0.371","0.1","0.087","-0.196","-0.293","-0.456","0"
"1999/10/01","00:00","0.437","0.34","0.272","0.004","0","-0.273","-0.414","-0.767","0"
"1999/11/01","00:00","0.553","0.275","0.187","-0.073","-0.079","-0.346","-0.516","-0.804","0"
"1999/12/01","00:00","0.462","0.215","0.103","-0.154","-0.156","-0.416","-0.592","-1.112","0"
"2000/01/01","00:00","0.498","0.168","0.066","-0.206","-0.21","-0.486","-0.649","-0.941","0"
"2000/02/01","00:00","0.388","0.158","0.057","-0.217","-0.227","-0.51","-0.652","-0.907","0"
"2000/03/01","00:00","0.479","0.255","0.171","-0.108","-0.115","-0.401","-0.514","-0.746","0"
"2000/04/01","00:00","NaN","0.287","0.181","-0.095","-0.106","-0.393","-0.505","NaN","11"
"2000/05/01","00:00","NaN","0.317","0.219","-0.071","-0.085","-0.389","-0.514","NaN","11"
"2000/06/01","00:00","0.497","0.33","0.2","-0.066","-0.071","-0.341","-0.525","-0.843","0"
"2000/07/01","00:00","NaN","0.38","0.249","-0.028","-0.035","-0.318","-0.503","NaN","11"
"2000/08/01","00:00","NaN","0.343","0.245","-0.041","-0.05","-0.345","-0.471","NaN","11"
"2000/09/01","00:00","0.96","0.392","0.308","0.029","0.022","-0.263","-0.37","-0.589","0"
"2000/10/01","00:00","0.516","0.313","0.236","-0.022","-0.033","-0.302","-0.431","-0.658","0"
"2000/11/01","00:00","0.664","0.319","0.22","-0.036","-0.043","-0.306","-0.489","-0.767","0"
"2000/12/01","00:00","0.585","0.189","0.062","-0.207","-0.208","-0.477","-0.682","-1.049","0"
"2001/01/01","00:00","0.398","0.071","-0.038","-0.302","-0.308","-0.578","-0.746","-1.212","0"
"2001/02/01","00:00","0.309","0.108","0.007","-0.29","-0.297","-0.601","-0.744","-1.123","0"
"2001/03/01","00:00","0.513","0.208","0.116","-0.177","-0.18","-0.476","-0.6","-0.961","0"
"2001/05/01","00:00","0.496","0.266","0.163","-0.113","-0.112","-0.388","-0.565","-0.814","0"
"2001/06/01","00:00","0.42","0.238","0.124","-0.144","-0.148","-0.42","-0.599","-0.895","0"
"2001/07/01","00:00","0.876","0.336","0.202","-0.061","-0.066","-0.333","-0.503","-0.806","0"
"2001/08/01","00:00","0.642","0.338","0.221","-0.035","-0.042","-0.306","-0.465","-0.732","0"
"2001/09/01","00:00","0.575","0.358","0.269","-0.002","-0.01","-0.29","-0.393","-0.603","0"
"2001/10/01","00:00","0.624","0.31","0.23","-0.034","-0.042","-0.313","-0.44","-0.826","0"
"2001/11/01","00:00","0.48","0.309","0.222","-0.038","-0.041","-0.304","-0.495","-0.875","0"
"2001/12/01","00:00","0.501","0.282","0.16","-0.11","-0.112","-0.385","-0.596","-0.85","0"
"2002/01/01","00:00","0.453","0.168","0.043","-0.235","-0.241","-0.526","-0.73","-1.059","0"
"2002/02/01","00:00","0.52","0.172","0.076","-0.211","-0.225","-0.526","-0.655","-0.895","0"
"2002/03/01","00:00","0.534","0.181","0.11","-0.19","-0.196","-0.501","-0.636","-0.839","0"
"2002/04/01","00:00","0.446","0.252","0.174","-0.113","-0.114","-0.403","-0.566","-0.748","0"
"2002/05/01","00:00","0.528","0.315","0.197","-0.087","-0.091","-0.379","-0.556","-0.849","0"
"2002/06/01","00:00","0.536","0.356","0.228","-0.031","-0.034","-0.295","-0.496","-0.746","0"
"2002/07/01","00:00","0.602","0.326","0.207","-0.059","-0.062","-0.332","-0.501","-0.692","0"
"2002/08/01","00:00","0.519","0.384","0.266","0.01","0.002","-0.262","-0.399","-0.697","0"
"2002/09/01","00:00","0.692","0.458","0.377","0.104","0.102","-0.174","-0.309","-0.474","0"
"2002/10/01","00:00","0.555","0.428","0.351","0.075","0.065","-0.222","-0.366","-0.547","0"
"2002/11/01","00:00","0.794","0.278","0.173","-0.091","-0.105","-0.383","-0.533","-0.871","0"
"2002/12/01","00:00","0.554","0.196","0.072","-0.187","-0.19","-0.451","-0.67","-0.976","0"
"2003/01/01","00:00","0.571","0.164","0.02","-0.244","-0.248","-0.516","-0.721","-0.963","0"
"2003/02/01","00:00","0.526","0.171","0.083","-0.208","-0.216","-0.515","-0.667","-0.931","0"
"2003/03/01","00:00","0.587","0.278","0.201","-0.1","-0.102","-0.405","-0.536","-0.959","0"
"2003/04/01","00:00","0.48","0.306","0.222","-0.074","-0.081","-0.383","-0.519","-0.762","0"
"2003/05/01","00:00","0.511","0.323","0.213","-0.068","-0.071","-0.356","-0.56","-0.886","0"
"2003/06/01","00:00","0.669","0.363","0.226","-0.053","-0.053","-0.332","-0.542","-0.847","0"
"2003/07/01","00:00","0.638","0.404","0.275","-0.01","-0.013","-0.301","-0.481","-0.713","0"
"2003/08/01","00:00","0.619","0.401","0.286","0.005","-0.006","-0.298","-0.436","-0.636","0"
"2003/09/01","00:00","0.61","0.451","0.352","0.067","0.054","-0.243","-0.357","-0.539","0"
"2003/10/01","00:00","0.722","0.414","0.344","0.049","0.046","-0.251","-0.401","-0.642","0"
"2003/11/01","00:00","0.646","0.374","0.27","-0.012","-0.01","-0.29","-0.489","-0.897","0"
"2003/12/01","00:00","0.566","0.229","0.11","-0.141","-0.143","-0.396","-0.598","-0.962","0"
"2004/01/01","00:00","0.598","0.228","0.125","-0.162","-0.154","-0.434","-0.63","-0.975","0"
"2004/02/01","00:00","0.473","0.208","0.102","-0.198","-0.2","-0.501","-0.663","-1.075","0"
"2004/03/01","00:00","0.436","0.247","0.155","-0.148","-0.163","-0.482","-0.598","-0.788","0"
"2004/04/01","00:00","0.648","0.285","0.195","-0.118","-0.128","-0.452","-0.588","-0.781","0"
"2004/05/01","00:00","0.49","0.327","0.211","-0.067","-0.073","-0.358","-0.523","-0.889","0"
"2004/06/01","00:00","0.608","0.388","0.25","-0.02","-0.026","-0.301","-0.509","-0.806","0"
"2004/07/01","00:00","0.611","0.383","0.234","-0.038","-0.046","-0.326","-0.528","-0.847","0"
"2004/08/01","00:00","0.637","0.388","0.268","-0.027","-0.037","-0.342","-0.481","-0.906","0"
"2004/09/01","00:00","0.955","0.408","0.303","0.037","0.027","-0.249","-0.366","-0.609","0"
"2004/10/01","00:00","0.584","0.407","0.328","0.038","0.036","-0.255","-0.395","-0.648","0"
"2004/11/01","00:00","0.756","0.38","0.268","0.007","0.004","-0.261","-0.446","-0.812","0"
"2004/12/01","00:00","0.492","0.192","0.073","-0.196","-0.202","-0.477","-0.682","-1.269","0"
"2005/01/01","00:00","0.628","0.251","0.132","-0.149","-0.151","-0.434","-0.619","-1.051","0"
"2005/02/01","00:00","0.734","0.326","0.243","-0.081","-0.084","-0.412","-0.55","-0.862","0"
"2005/03/01","00:00","0.428","0.187","0.129","-0.198","-0.192","-0.512","-0.636","-0.929","0"
"2005/04/01","00:00","0.612","0.324","0.251","-0.075","-0.071","-0.392","-0.56","-0.849","0"
"2005/05/01","00:00","0.574","0.364","0.25","-0.041","-0.047","-0.345","-0.537","-0.765","0"
"2005/06/01","00:00","0.584","0.397","0.271","-0.002","-0.002","-0.275","-0.489","-0.83","0"
"2005/07/01","00:00","0.937","0.429","0.28","0.01","-0.006","-0.293","-0.471","-0.718","0"
"2005/08/01","00:00","0.723","0.418","0.288","0.01","-0.011","-0.31","-0.456","-0.703","0"
"2005/09/01","00:00","0.93","0.438","0.349","0.067","0.059","-0.231","-0.353","-0.606","0"
"2005/10/01","00:00","0.659","0.364","0.282","0.003","-0.002","-0.285","-0.43","-0.821","0"
"2005/11/01","00:00","0.522","0.308","0.196","-0.074","-0.075","-0.346","-0.548","-0.873","0"
"2005/12/01","00:00","0.554","0.243","0.102","-0.171","-0.174","-0.45","-0.681","-0.91","0"
"2006/01/01","00:00","0.622","0.235","0.099","-0.196","-0.196","-0.491","-0.697","-1.094","0"
"2006/02/01","00:00","0.482","0.201","0.102","-0.184","-0.189","-0.48","-0.617","-1.025","0"
"2006/03/01","00:00","0.436","0.273","0.182","-0.131","-0.139","-0.461","-0.592","-0.845","0"
"2006/04/01","00:00","0.431","0.269","0.174","-0.112","-0.118","-0.41","-0.568","-0.917","0"
"2006/05/01","00:00","0.503","0.33","0.242","-0.052","-0.051","-0.345","-0.526","-0.764","0"
"2006/06/01","00:00","0.665","0.335","0.21","-0.063","-0.061","-0.332","-0.531","-0.764","0"
"2006/07/01","00:00","NaN","0.315","0.188","-0.088","-0.096","-0.38","-0.535","NaN","11"
"2006/08/01","00:00","0.571","0.383","0.261","-0.019","-0.027","-0.316","-0.448","-0.694","0"
"2006/09/01","00:00","0.626","0.449","0.361","0.056","0.054","-0.252","-0.375","-0.591","0"
"2006/10/01","00:00","0.759","0.398","0.303","0.016","0.006","-0.292","-0.427","-0.91","0"
"2006/11/01","00:00","0.722","0.268","0.17","-0.084","-0.088","-0.346","-0.526","-0.893","0"
"2006/12/01","00:00","0.602","0.246","0.113","-0.157","-0.155","-0.424","-0.656","-1.061","0"
"2007/01/01","00:00","0.512","0.25","0.113","-0.172","-0.177","-0.467","-0.655","-0.898","0"
"2007/02/01","00:00","NaN","0.181","0.049","-0.214","-0.234","-0.517","-0.653","-0.968","11"
"2007/03/01","00:00","0.5","0.197","0.105","-0.197","-0.207","-0.519","-0.655","-0.913","0"
"2007/04/01","00:00","0.642","0.222","0.14","-0.148","-0.155","-0.45","-0.605","-0.913","0"
"2007/05/01","00:00","0.634","0.396","0.259","-0.029","-0.03","-0.32","-0.514","-0.777","0"
"2007/06/01","00:00","0.885","0.404","0.25","-0.023","-0.027","-0.305","-0.512","-0.755","0"
"2007/07/01","00:00","0.627","0.387","0.24","-0.035","-0.035","-0.31","-0.506","-0.736","0"
"2007/08/01","00:00","0.556","0.413","0.291","0.01","0.002","-0.287","-0.42","-0.597","0"
"2007/09/01","00:00","0.626","0.405","0.29","0.015","0.005","-0.28","-0.399","-0.716","0"
"2007/10/01","00:00","0.661","0.414","0.308","0.034","0.016","-0.276","-0.42","-0.84","0"
"2007/11/01","00:00","0.538","0.287","0.179","-0.083","-0.087","-0.352","-0.549","-0.885","0"
"2007/12/01","00:00","0.575","0.244","0.119","-0.143","-0.146","-0.412","-0.619","-0.93","0"
"2008/01/01","00:00","0.503","0.203","0.108","-0.224","-0.21","-0.528","-0.697","-1.268","0"
"2008/02/01","00:00","0.434","0.181","0.098","-0.22","-0.215","-0.529","-0.68","-0.964","0"
"2008/03/01","00:00","0.618","0.178","0.077","-0.207","-0.213","-0.502","-0.643","-0.851","0"
"2008/04/01","00:00","0.475","0.318","0.211","-0.081","-0.094","-0.399","-0.526","-0.832","0"
"2008/07/01","00:00","0.618","0.431","0.297","0.018","0.016","-0.266","-0.456","-0.827","0"
"2008/08/01","00:00","0.628","0.429","0.324","0.047","0.04","-0.244","-0.378","-0.553","0"
"2008/09/01","00:00","0.964","0.509","0.43","0.155","0.151","-0.127","-0.218","-0.476","0"
"2008/10/01","00:00","0.668","0.419","0.305","0.048","0.042","-0.22","-0.377","-0.752","0"
"2008/11/01","00:00","0.812","0.33","0.218","-0.039","-0.04","-0.298","-0.497","-0.9","0"
"2008/12/01","00:00","0.764","0.251","0.121","-0.152","-0.155","-0.432","-0.641","-1.191","0"
"2009/01/01","00:00","0.48","0.166","0.054","-0.237","-0.241","-0.536","-0.688","-0.983","0"
"2009/02/01","00:00","0.442","0.181","0.094","-0.225","-0.225","-0.544","-0.678","-1.049","0"
"2009/03/01","00:00","0.629","0.307","0.218","-0.098","-0.095","-0.407","-0.564","-0.803","0"
"2009/04/01","00:00","0.633","0.309","0.22","-0.09","-0.097","-0.413","-0.538","-0.816","0"
"2009/05/01","00:00","0.612","0.346","0.221","-0.052","-0.054","-0.329","-0.526","-0.789","0"
"2009/06/01","00:00","0.682","0.442","0.312","0.03","0.03","-0.252","-0.436","-0.697","0"
"2009/07/01","00:00","0.656","0.451","0.314","0.038","0.026","-0.263","-0.424","-0.758","0"
"2009/08/01","00:00","0.696","0.456","0.328","0.051","0.035","-0.258","-0.385","-0.637","0"
"2009/09/01","00:00","0.709","0.524","0.435","0.157","0.149","-0.137","-0.254","-0.407","0"
"2009/11/01","00:00","0.666","0.401","0.304","0.041","0.038","-0.227","-0.43","-0.786","0"
"2009/12/01","00:00","0.801","0.365","0.227","-0.047","-0.054","-0.336","-0.54","-0.898","0"
"2010/01/01","00:00","0.688","0.283","0.155","-0.152","-0.154","-0.464","-0.638","-1.033","0"
"2010/02/01","00:00","0.691","0.281","0.169","-0.143","-0.154","-0.477","-0.596","-1.033","0"
"2010/04/01","00:00","0.541","0.275","0.176","-0.113","-0.115","-0.407","-0.574","-0.815","0"
"2010/05/01","00:00","0.549","0.346","0.224","-0.045","-0.05","-0.325","-0.503","-0.728","0"
"2010/06/01","00:00","0.617","0.424","0.288","0.006","0","-0.289","-0.475","-0.746","0"
"2010/08/01","00:00","0.811","0.456","0.355","0.072","0.065","-0.225","-0.351","-0.617","0"
"2010/09/01","00:00","0.651","0.512","0.411","0.123","0.114","-0.184","-0.315","-0.47","0"
"2010/10/01","00:00","0.702","0.385","0.289","0.016","0.011","-0.268","-0.437","-0.61","0"
"2010/11/01","00:00","0.693","0.346","0.241","-0.029","-0.03","-0.301","-0.491","-0.976","0"
"2010/12/01","00:00","0.566","0.225","0.077","-0.189","-0.197","-0.471","-0.678","-0.911","0"
"2011/01/01","00:00","0.639","0.226","0.1","-0.213","-0.211","-0.522","-0.7","-0.884","0"
"2011/02/01","00:00","0.599","0.217","0.101","-0.218","-0.22","-0.542","-0.664","-0.901","0"
"2011/03/01","00:00","0.77","0.291","0.205","-0.106","-0.115","-0.436","-0.543","-0.828","0"
"2011/04/01","00:00","0.496","0.295","0.199","-0.084","-0.089","-0.377","-0.533","-0.806","0"
"2011/05/01","00:00","0.612","0.351","0.232","-0.048","-0.054","-0.339","-0.517","-0.778","0"
"2011/06/01","00:00","0.577","0.414","0.277","-0.011","-0.02","-0.317","-0.493","-0.818","0"
"2011/07/01","00:00","0.643","0.478","0.338","0.049","0.042","-0.255","-0.413","-0.637","0"
"2011/08/01","00:00","0.809","0.483","0.373","0.063","0.054","-0.265","-0.369","-0.606","0"
"2011/09/01","00:00","0.76","0.446","0.349","0.057","0.045","-0.259","-0.363","-0.621","0"
"2011/10/01","00:00","0.873","0.383","0.279","-0.003","-0.005","-0.29","-0.432","-0.755","0"
"2011/11/01","00:00","0.745","0.371","0.256","-0.017","-0.018","-0.293","-0.474","-0.878","0"
"2011/12/01","00:00","0.539","0.286","0.181","-0.086","-0.085","-0.352","-0.543","-0.876","0"
"2012/01/01","00:00","0.558","0.252","0.135","-0.156","-0.158","-0.451","-0.6","-0.811","0"
"2012/02/01","00:00","0.48","0.298","0.181","-0.105","-0.113","-0.407","-0.552","-0.779","0"
"2012/03/01","00:00","0.451","0.321","0.235","-0.057","-0.072","-0.379","-0.479","-0.782","0"
"2012/04/01","00:00","0.696","0.372","0.267","-0.005","-0.012","-0.291","-0.437","-0.712","0"
"2012/05/01","00:00","0.644","0.425","0.312","0.03","0.026","-0.261","-0.426","-0.711","0"
"2012/06/01","00:00","1.09","0.551","0.423","0.138","0.134","-0.155","-0.332","-0.75","0"
"2012/07/01","00:00","0.647","0.492","0.36","0.067","0.056","-0.248","-0.408","-0.7","0"
"2012/09/01","00:00","0.675","0.447","0.357","0.078","0.07","-0.217","-0.319","-0.466","0"
"2012/10/01","00:00","0.727","0.433","0.344","0.061","0.056","-0.232","-0.369","-0.584","0"
"2012/11/01","00:00","0.656","0.434","0.329","0.053","0.046","-0.236","-0.409","-0.692","0"
"2012/12/01","00:00","0.602","0.361","0.252","-0.032","-0.037","-0.326","-0.502","-0.981","0"
"2013/01/01","00:00","0.837","0.335","0.197","-0.095","-0.102","-0.401","-0.561","-0.78","0"
"2013/02/01","00:00","0.701","0.302","0.203","-0.095","-0.099","-0.402","-0.519","-0.812","0"
"2013/03/01","00:00","0.633","0.286","0.185","-0.101","-0.116","-0.417","-0.517","-0.776","0"
"2013/04/01","00:00","0.606","0.311","0.207","-0.076","-0.087","-0.381","-0.535","-0.805","0"
"2013/05/01","00:00","0.517","0.319","0.215","-0.054","-0.057","-0.329","-0.513","-0.83","0"
"2013/06/01","00:00","0.876","0.389","0.269","-0.005","-0.008","-0.286","-0.443","-0.73","0"
"2013/07/01","00:00","0.626","0.432","0.318","0.061","0.052","-0.213","-0.346","-0.646","0"
"2013/08/01","00:00","0.648","0.434","0.325","0.059","0.049","-0.227","-0.353","-0.628","0"
"2013/09/01","00:00","0.669","0.469","0.386","0.107","0.103","-0.18","-0.293","-0.408","0"
"2013/10/01","00:00","0.652","0.438","0.374","0.103","0.098","-0.178","-0.298","-0.511","0"
"2013/12/01","00:00","0.727","0.342","0.22","-0.049","-0.052","-0.324","-0.521","-0.814","0"
"2014/01/01","00:00","0.666","0.293","0.15","-0.137","-0.143","-0.437","-0.61","-0.959","0"
"2014/02/01","00:00","0.533","0.302","0.202","-0.082","-0.09","-0.382","-0.507","-0.691","0"
"2014/03/01","00:00","0.58","0.299","0.23","-0.077","-0.085","-0.401","-0.512","-0.812","0"
"2014/04/01","00:00","0.625","0.356","0.272","-0.017","-0.023","-0.318","-0.458","-0.638","0"
"2014/05/01","00:00","0.742","0.387","0.284","0.007","0.009","-0.267","-0.442","-0.91","0"
"2014/08/01","00:00","0.675","0.447","0.338","0.063","0.054","-0.23","-0.346","-0.616","0"
"2014/09/01","00:00","0.734","0.473","0.392","0.112","0.107","-0.179","-0.284","-0.467","0"
"2014/10/01","00:00","0.595","0.434","0.361","0.095","0.09","-0.182","-0.32","-0.546","0"
"2014/11/01","00:00","0.756","0.372","0.272","0.008","0.002","-0.269","-0.432","-0.641","0"
"2014/12/01","00:00","0.846","0.407","0.306","0.037","0.03","-0.247","-0.423","-0.644","0"
"2015/01/01","00:00","0.682","0.315","0.191","-0.09","-0.095","-0.382","-0.558","-1.002","0"
"2015/02/01","00:00","0.786","0.369","0.264","-0.021","-0.026","-0.315","-0.449","-0.787","0"
"2015/03/01","00:00","0.435","0.278","0.192","-0.088","-0.094","-0.379","-0.505","-0.751","0"
"2015/05/01","00:00","0.539","0.385","0.278","-0.002","-0.007","-0.293","-0.448","-0.64","0"
"2015/06/01","00:00","0.577","0.397","0.274","0.005","-0.002","-0.277","-0.445","-0.62","0"
"2015/07/01","00:00","0.739","0.445","0.327","0.046","0.036","-0.254","-0.41","-0.686","0"
"2015/08/01","00:00","0.801","0.507","0.395","0.111","0.102","-0.192","-0.307","-0.589","0"
"2015/09/01","00:00","0.754","0.487","0.4","0.126","0.119","-0.163","-0.255","-0.375","0"
"2015/10/01","00:00","0.879","0.564","0.491","0.218","0.212","-0.068","-0.2","-0.425","0"
"2015/11/01","00:00","0.628","0.455","0.368","0.104","0.096","-0.176","-0.337","-0.72","0"
"2015/12/01","00:00","0.686","0.431","0.329","0.07","0.066","-0.197","-0.37","-0.67","0"
"2016/01/01","00:00","0.959","0.415","0.28","0.019","0.012","-0.256","-0.404","-0.833","0"
"2016/02/01","00:00","0.815","0.316","0.21","-0.05","-0.063","-0.337","-0.483","-0.807","0"
"2016/03/01","00:00","0.53","0.317","0.23","-0.047","-0.053","-0.336","-0.457","-0.764","0"
"2016/04/01","00:00","0.608","0.389","0.303","0.029","0.026","-0.251","-0.4","-0.78","0"
"2016/05/01","00:00","0.595","0.413","0.329","0.06","0.055","-0.218","-0.365","-0.592","0"
"2016/06/01","00:00","1.035","0.437","0.333","0.057","0.053","-0.227","-0.377","-0.635","0"
"2016/07/01","00:00","0.579","0.426","0.313","0.044","0.031","-0.251","-0.408","-0.688","0"
"2016/08/01","00:00","0.825","0.5","0.393","0.114","0.103","-0.188","-0.299","-0.532","0"
"2016/09/01","00:00","1.178","0.517","0.438","0.164","0.155","-0.128","-0.231","-0.412","0"
"2016/10/01","00:00","0.689","0.42","0.371","0.102","0.094","-0.184","-0.299","-0.438","0"
"2016/11/01","00:00","0.751","0.449","0.369","0.099","0.096","-0.177","-0.341","-0.555","0"
"2016/12/01","00:00","0.629","0.328","0.223","-0.035","-0.043","-0.309","-0.489","-0.84","0"
"2017/01/01","00:00","0.986","0.365","0.241","-0.027","-0.036","-0.313","-0.478","-1.021","0"
"2017/02/01","00:00","0.459","0.254","0.156","-0.112","-0.123","-0.403","-0.534","-0.978","0"
"2017/03/01","00:00","0.544","0.248","0.182","-0.113","-0.123","-0.429","-0.544","-0.718","0"
"2017/04/01","00:00","0.609","0.373","0.292","0.013","0.004","-0.285","-0.411","-0.617","0"
"2017/05/01","00:00","0.749","0.356","0.275","0.001","-0.002","-0.28","-0.456","-0.817","0"
"2017/06/01","00:00","0.682","0.424","0.317","0.049","0.044","-0.229","-0.399","-0.632","0"
"2017/07/01","00:00","0.617","0.432","0.314","0.048","0.04","-0.235","-0.383","-0.674","0"
"2017/08/01","00:00","0.661","0.468","0.365","0.103","0.095","-0.174","-0.296","-0.561","0"
"2017/09/01","00:00","0.665","0.487","0.397","0.118","0.109","-0.179","-0.275","-1.165","0"
"2017/10/01","00:00","0.936","0.496","0.42","0.16","0.155","-0.111","-0.231","-0.413","0"
"2017/11/01","00:00","0.693","0.391","0.313","0.04","0.035","-0.242","-0.404","-0.64","0"
"2017/12/01","00:00","0.666","0.364","0.246","-0.036","-0.039","-0.325","-0.522","-0.816","0"
"2018/01/01","00:00","0.554","0.204","0.083","-0.193","-0.202","-0.486","-0.676","-1.222","0"
"2018/02/01","00:00","0.524","0.284","0.182","-0.097","-0.107","-0.395","-0.537","-0.808","0"
"2018/03/01","00:00","0.626","0.375","0.297","0.006","-0.005","-0.307","-0.405","-0.691","0"
"2018/04/01","00:00","0.702","0.33","0.26","-0.028","-0.038","-0.337","-0.474","-0.721","0"
"2018/05/01","00:00","0.691","0.393","0.281","0.013","0.01","-0.26","-0.436","-0.677","0"
"2018/06/01","00:00","0.542","0.364","0.25","-0.024","-0.027","-0.304","-0.488","-0.753","0"
"2018/07/01","00:00","0.668","0.443","0.327","0.055","0.048","-0.231","-0.395","-0.745","0"
"2018/08/01","00:00","0.75","0.476","0.383","0.1","0.093","-0.197","-0.329","-0.624","0"
"2018/09/01","00:00","0.756","0.501","0.419","0.138","0.126","-0.168","-0.279","-0.453","0"
"2018/10/01","00:00","1.01","0.478","0.404","0.138","0.13","-0.145","-0.273","-0.713","0"
"2018/11/01","00:00","0.723","0.376","0.306","0.027","0.028","-0.251","-0.423","-0.646","0"
"2018/12/01","00:00","0.934","0.379","0.269","0.013","0.01","-0.249","-0.422","-0.885","0"
"2019/01/01","00:00","0.773","0.303","0.196","-0.078","-0.08","-0.356","-0.533","-0.867","0"
"2019/02/01","00:00","0.59","0.361","0.253","-0.038","-0.045","-0.343","-0.502","-0.791","0"
"2019/03/01","00:00","0.538","0.356","0.288","-0.001","-0.005","-0.298","-0.454","-0.793","0"
"2019/04/01","00:00","0.827","0.399","0.324","0.039","0.03","-0.264","-0.385","-0.691","0"
"2019/05/01","00:00","0.754","0.456","0.362","0.077","0.073","-0.216","-0.382","-0.58","0"
"2019/06/01","00:00","0.681","0.493","0.373","0.102","0.099","-0.175","-0.377","-0.6","0"
"2019/07/01","00:00","0.702","0.507","0.378","0.105","0.095","-0.188","-0.386","-0.62","0"
"2019/08/01","00:00","0.771","0.521","0.399","0.112","0.106","-0.187","-0.338","-0.646","0"
"2019/09/01","00:00","0.811","0.493","0.413","0.134","0.124","-0.165","-0.281","-0.384","0"
"2019/10/01","00:00","0.854","0.639","0.561","0.289","0.284","0.006","-0.136","-0.39","0"
"2019/11/01","00:00","0.863","0.544","0.439","0.157","0.152","-0.135","-0.305","-0.676","0"
"2019/12/01","00:00","0.846","0.407","0.287","0.024","0.015","-0.257","-0.453","-0.728","0"
"2020/01/01","00:00","0.729","0.359","0.238","-0.027","-0.035","-0.308","-0.497","-0.947","0"
"2020/02/01","00:00","0.794","0.319","0.207","-0.067","-0.072","-0.351","-0.5","-0.897","0"
"2020/03/01","00:00","0.548","0.331","0.248","-0.039","-0.054","-0.357","-0.481","-1.018","0"
"2020/04/01","00:00","0.757","0.439","0.363","0.076","0.07","-0.223","-0.371","-0.615","0"
"2020/05/01","00:00","0.586","0.403","0.311","0.023","0.024","-0.262","-0.457","-0.811","0"
"2020/06/01","00:00","0.858","0.507","0.391","0.104","0.107","-0.177","-0.361","-0.577","0"
"2020/07/01","00:00","0.779","0.479","0.355","0.085","0.084","-0.187","-0.376","-0.575","0"
"2020/08/01","00:00","0.735","0.525","0.407","0.134","0.13","-0.147","-0.307","-0.57","0"
"2020/09/01","00:00","0.766","0.552","0.454","0.198","0.183","-0.088","-0.192","-0.407","0"
"2020/10/01","00:00","0.705","0.555","0.493","0.223","0.212","-0.07","-0.199","-0.484","0"
"2020/11/01","00:00","1.076","0.473","0.374","0.106","0.104","-0.166","-0.351","-0.891","0"
"2020/12/01","00:00","0.689","0.351","0.214","-0.051","-0.05","-0.313","-0.525","-0.861","0"
"2021/01/01","00:00","0.696","0.331","0.196","-0.075","-0.081","-0.358","-0.549","-0.926","0"
"2021/02/01","00:00","0.604","0.35","0.266","-0.032","-0.026","-0.319","-0.483","-0.734","0"
"2021/03/01","00:00","0.647","0.37","0.301","-0.017","-0.019","-0.34","-0.477","-0.871","0"
"2021/04/01","00:00","0.94","0.445","0.349","0.035","0.04","-0.27","-0.449","-0.852","0"
"2021/05/01","00:00","0.642","0.391","0.294","-0.002","-0.011","-0.316","-0.484","-0.726","0"
"2021/06/01","00:00","0.624","0.468","0.345","0.069","0.069","-0.207","-0.407","-0.77","0"
"2021/07/01","00:00","0.767","0.449","0.323","0.057","0.048","-0.226","-0.383","-0.655","0"
"2021/08/01","00:00","0.707","0.521","0.419","0.138","0.127","-0.165","-0.296","-0.518","0"
"2021/09/01","00:00","0.631","0.508","0.423","0.14","0.131","-0.161","-0.292","-0.465","0"
"2021/10/01","00:00","0.749","0.567","0.481","0.202","0.192","-0.098","-0.225","-0.392","0"
"2021/11/01","00:00","0.638","0.447","0.356","0.098","0.096","-0.165","-0.352","-0.613","0"
"2021/12/01","00:00","0.7","0.443","0.318","0.043","0.042","-0.235","-0.452","-0.738","0"
